name,id,num_id,long_name,long_name_fin,int_y,model_life,speed,cargo_allow,cargo_disallow,cc_allow,cc_disallow,capacity,Capacity (litres),loading_speed,cargo_age_period,weight,pur_cost,Est. buy cost,Purchase cost (real/est),"Running cost (real, est, â‚?km)",run_cost,Est. run. cost,Stats,Drawn,Coded,Total,Artist,Set of liveries,Paint scheme change,No. of refit graphics,Animated,Misc data,Source mat.,ADD_TEXT,STR_ADD_MANUFACTURER,STR_ADD_BOGIES,STR_ADD_UIC_AXLE_ORDER
Vofa,vofa,860,Vofa (STR_PUR_CONTAINER_WAGON) (SZD/RZD),Vofa-konttivaunu (SZD/RZD),1987,INF,80,,"LVST, WOOD","CC_EXPRESS, CC_PIECE_GOODS, CC_HAZARDOUS","CC_REFRIGERATED, CC_COVERED, CC_OVERSIZED",69,,5,185,24,15,"$3,750 ","$92,500 ",0.2,8,$162.50 ,100.00%,100.00%,100.00%,100.00%,"Kyosuke1989
Originals by
Wile E.Coyote",4,,4,Yes,"Container Wagon 5 metres longer than Vof
All in containers",vaunut.org,,USSR,CNII-H3-0,2'2'
,,,,,,,,,,,,,,,,,,,,,,,100.00%,40.79%,65.79%,68.86%,,,,,,,,,,,
Tank Wagons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,s,861,S (STR_PUR_TANK_WAGON),S-sailiovaunu,1870,100,65,,"BEER, MILK",CC_LIQUID,,14,16000,5,185,9,8,"$2,000 ","$50,000 ",0.05,2,$40.63 ,100.00%,100.00%,100.00%,100.00%,DanMacK,1,,3,,,vaunut.org,,,,2
Gmz,gmz,862,Gmz (STR_PUR_TANK_WAGON),Gmz-sailiovaunu,1928,50,80,,"BEER, MILK",CC_LIQUID,,26,29000,5,185,14,10,"$2,500 ","$65,000 ",0.1,4,$81.25 ,100.00%,100.00%,100.00%,100.00%,,1,,,,,vaunut.org,,,,2'2'
Soe,soe,863,Soe (STR_PUR_OIL_WAGON),Soe-oljyvaunu,1970,50,100,,"BEER, MILK",CC_LIQUID,,55,50000,5,185,26,29,"$7,250 ","$175,000 ",0.15,6,$121.88 ,100.00%,100.00%,100.00%,100.00%,DanMacK,1,,1,,"DYES capacity 35T
real int 1965",vaunut.org,,VR Psl Knp,K14,2'2'
Soek,soek,864,Soek (STR_PUR_OIL_WAGON),Soek-oljyvaunu,1970,INF,100,,"BEER, MILK",CC_LIQUID,,58,62500,5,185,23,29,"$7,250 ","$175,000 ",0.15,6,$121.88 ,100.00%,100.00%,100.00%,100.00%,DanMacK,1,,1,,"Livery Types change to Sonk (Tare 33T)
(Capacity 83000L 
of RFPR) Sonk sprites missing!",vaunut.org,,VR Psl Knp,K14,2'2'
Sti,sti,865,Sti (STR_PUR_AMMONIA_WAGON),Sti-ammoniakkivaunu,1970,50,100,,"BEER, MILK",CC_LIQUID,,58,77000,5,185,28,29,"$7,250 ","$177,500 ",0.2,8,$162.50 ,100.00%,100.00%,100.00%,100.00%,DanMacK,1,,1,,real capacity 32,vaunut.org,,VR Psl Knp,K14,2'2'
Sob,sob,866,Sob (STR_PUR_PETROL_WAGON),Sob-bensiinivaunu,1974,INF,100,,"BEER, MILK",CC_LIQUID,,57,83000,5,185,23,29,"$7,250 ","$175,000 ",0.15,6,$121.88 ,100.00%,100.00%,100.00%,100.00%,"DanMacK/
Kyosuke1989",1,,,,,vaunut.org,,VR Psl Knp,K14,2'2'
Sonk,sonk,867,Sonk (STR_PUR_LIQUID_GAS_WAGON),Sonk-nestekaasuvaunu,1980,50,100,,"BEER, MILK",CC_LIQUID,,42,83000,5,185,33,38,"$9,500 ","$230,000 ",0.2,8,$162.50 ,75.00%,25.00%,50.00%,50.00%,,1,,,,,vaunut.org,,VR Psl Knp,K14,2'2'
Zan-v,zanv,868,Zan-v (STR_PUR_ACID_WAGON),"Zan-v, fosforihappovaunu",1995,INF,100,,"BEER, MILK",CC_LIQUID,,64,45000,5,185,26,30,"$7,500 ","$185,000 ",0.2,8,$162.50 ,100.00%,100.00%,100.00%,100.00%,DanMacK,1,,1,,,vaunut.org,,VR Pm Knp,K16,2'2'
Zans,zans,869,Zans (STR_PUR_ACID_WAGON),Zans-rikkihappovaunu,2009,40,120,,"BEER, MILK",CC_LIQUID,,57,44000,5,185,25,32,"$8,000 ","$195,000 ",0.2,8,$162.50 ,100.00%,100.00%,100.00%,100.00%,juzza1,1,,,,"In reality, used as sulphuric acid Tanker
",vaunut.org,,VR Pm Knp,K16,2'2'
Zaens-v,zaensv,870,Zaens-v (STR_PUR_LYE_WAGON),"Zaens-v, lipeavaunu",2009,40,120,,"BEER, MILK",CC_LIQUID,,62,45000,5,185,28,33,"$8,250 ","$200,000 ",0.2,8,$162.50 ,100.00%,0.00%,50.00%,50.00%,-,1,,,,"In reality, used as sodium hydroxide Tanker
",vaunut.org,,VR Pm Knp,K16,2'2'
Vgobo,vgobo,871,Vgobo (STR_PUR_TANK_WAGON) (SZD/RZD),Vgobo-sailiovaunu (SZD/RZD),1970,INF,80,,"BEER, MILK",CC_LIQUID,,60,77000,5,185,21,26,"$6,500 ","$160,000 ",0.2,8,$162.50 ,100.00%,100.00%,100.00%,100.00%,"juzza1, xUSSR team",7,,,,Simplified capacities Random livery,vaunut.org,,USSR,CNII-H3-0,2'2'
,,,,,,,,,,,,,,,,,,,,,,,97.50%,82.50%,90.00%,90.00%,,,,,,,,,,,
Open and Mineral Wagons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,m,872,M (STR_PUR_OPEN_WAGON),"M, laidallinen avovaunu",1870,90,60,,,"CC_BULK, CC_COVERED",,12,,5,185,6,4,"$1,000 ","$25,000 ",0.05,2,$40.63 ,100.00%,100.00%,100.00%,100.00%,DanMacK,1,,,Yes,,vaunut.org,,,,2
Ma,ma,873,Ma (STR_PUR_OPEN_WAGON),"Ma, laidallinen avovaunu",1924,50,65,,,"CC_BULK, CC_COVERED",,21,,5,185,8,4,"$1,000 ","$25,000 ",0.05,2,$40.63 ,100.00%,100.00%,100.00%,100.00%,DanMacK,1,,5,Yes,,vaunut.org,,,,2
Om,om,874,Om (STR_PUR_ORE_WAGON),Om-rikastevaunu,1953,50,75,,"GRAI, WHEA, MAIZ, SUGR, BEAN, CERE, FICR, OLSD, WOOL, CASS, SALT, SGBT, SGCN","CC_BULK, CC_COVERED",CC_NON_POURABLE,40,,5,185,20,10,"$2,500 ","$60,000 ",0.15,6,$121.88 ,100.00%,100.00%,100.00%,100.00%,DanMacK,1,,4,Yes,,vaunut.org,,,K13,2'2'
Ome,ome,875,Ome (STR_PUR_ORE_WAGON),Ome-rikastevaunu,1962,INF,100,,"GRAI, WHEA, MAIZ, SUGR, BEAN, CERE, FICR, OLSD, WOOL, CASS, SALT, SGBT, SGCN","CC_BULK, CC_COVERED",CC_NON_POURABLE,55,,5,185,25,14,"$3,500 ","$89,000 ",0.15,6,$121.88 ,100.00%,100.00%,100.00%,100.00%,"juzza1, DanMacK",1,,,Yes,,vaunut.org,,VR Psl Knp,K14,2'2'
Mas,mas,876,Mas (STR_PUR_GRAVEL_WAGON),Mas-sepelivaunu,1967,50,80,,"GRAI, WHEA, MAIZ, SUGR, BEAN, CERE, FICR, OLSD, WOOL, CASS, SALT, SGBT, SGCN",CC_BULK,"CC_COVERED, CC_NON_POURABLE",21,,5,185,9,5,"$1,250 ","$32,500 ",0.05,2,$40.63 ,100.00%,0.00%,50.00%,50.00%,DanMacK,1,,,Yes,,vaunut.org,,VR Psl Knp,,2
Elo,elo,878,Elo (STR_PUR_OPEN_WAGON),Elo-irtotavaravaunu,1970,50,120,,,"CC_BULK, CC_COVERED",,18,,5,185,12,9,"$2,250 ","$55,000 ",0.1,4,$81.25 ,100.00%,100.00%,100.00%,100.00%,DanMacK/alluke,,,4,Yes,,vaunut.org,,VR Psl Knp,,2
Ohn,ohn,879,Ohn (STR_PUR_WOOD_CHIP_WAGON),Ohn-hakevaunu,1975,50,100,"PEAT, WDPR",,,,56,,5,208,24,17,"$4,250 ","$105,000 ",0.15,6,$121.88 ,100.00%,0.00%,50.00%,50.00%,-,1,,,Yes,,vaunut.org,,VR Psl Knp,K14,2'2'
Fat,fat,880,Fat (STR_PUR_PEAT_WOOD_CHIP_WAGON),"Fat, turve- ja hakevaunu",1978,INF,100,"PEAT, WDPR",,,,51,,5,208,29,16,"$4,000 ","$100,000 ",0.15,6,$121.88 ,100.00%,0.00%,50.00%,50.00%,-,1,,,Yes,transport from Talvivaara to Harjavalta,vaunut.org,,VR Psl Knp,K14,2'2'
Fau,fau,881,Fau (STR_PUR_COAL_WAGON),Fau-hiilivaunu,1982,50,120,,"GRAI, WHEA, MAIZ, SUGR, BEAN, CERE, FICR, OLSD, WOOL, CASS, SALT, SGBT, SGCN","CC_BULK, CC_COVERED",CC_NON_POURABLE,65,,5,185,26,18,"$4,500 ","$110,000 ",0.15,6,$121.88 ,100.00%,0.00%,50.00%,50.00%,-,1,,,Yes,Used as COAL transport,vaunut.org,,VR Psl Knp,K15 / K16,2'2'
Elo-t,elot,882,Elo-t (STR_PUR_SCRAP_WAGON),"Elo-t, romuvaunu",1989,INF,120,"SCMT, RCYC",,,,30,,5,208,14,10,"$2,500 ","$65,000 ",0.1,4,$81.25 ,100.00%,0.00%,50.00%,50.00%,-,1,,,Yes,2-axle SCMT transport,vaunut.org,,VR Psl Knp,,2
Tau,tau,883,Tau (STR_PUR_TALC_WAGON),Tau-talkkivaunu,1989,50,120,,"GRAI, WHEA, MAIZ, SUGR, BEAN, CERE, FICR, OLSD, WOOL, CASS, SALT, SGBT, SGCN","CC_BULK, CC_COVERED",CC_NON_POURABLE,63,,5,185,27,20,"$5,000 ","$120,000 ",0.15,6,$121.88 ,100.00%,100.00%,100.00%,100.00%,juzza1,1,,,Yes,,vaunut.org,,VR Psl Knp,K16,2'2'
Obrk,obrk,884,Obrk (STR_PUR_SCRAP_WAGON),Obrk-romuvaunu,1990,INF,100,"SCMT, RCYC",,,,55,,5,208,25,16,"$4,000 ","$100,000 ",0.15,6,$121.88 ,100.00%,100.00%,100.00%,100.00%,Kyosuke1989,1,,2,Yes,4-axle SCMT transport,vaunut.org,,VR Psl Knp,K14,2'2'
Taimn,taimn,885,Taimn (STR_PUR_ORE_WAGON),Taimn-rikastevaunu,1993,INF,100,,"GRAI, WHEA, MAIZ, SUGR, BEAN, CERE, FICR, OLSD, WOOL, CASS, SALT, SGBT, SGCN","CC_BULK, CC_COVERED",CC_NON_POURABLE,56,,5,185,29,19,"$4,750 ","$115,000 ",0.15,6,$121.88 ,100.00%,100.00%,100.00%,100.00%,"juzza1, DanMacK",1,,,Yes,,vaunut.org,,VR Psl Knp,K14,2'2'
Taimn-u,taimnu,886,Taimn-u (STR_PUR_TALC_WAGON),"Taimn-u, talkkivaunu",1995,INF,120,,"GRAI, WHEA, MAIZ, SUGR, BEAN, CERE, FICR, OLSD, WOOL, CASS, SALT, SGBT, SGCN","CC_BULK, CC_COVERED",CC_NON_POURABLE,62,,5,185,28,21,"$5,250 ","$130,000 ",0.15,6,$121.88 ,100.00%,0.00%,50.00%,50.00%,-,1,,,Yes,,vaunut.org,,VR Psl Knp,K16,2'2'
Taimn-t,taimnt,887,Taimn-t (STR_PUR_ORE_WAGON),"Taimn-t, rikastevaunu",2002,INF,120,,"GRAI, WHEA, MAIZ, SUGR, BEAN, CERE, FICR, OLSD, WOOL, CASS, SALT, SGBT, SGCN","CC_BULK, CC_COVERED",CC_NON_POURABLE,68,,5,185,32,23,"$5,750 ","$140,000 ",0.2,8,$162.50 ,100.00%,0.00%,50.00%,50.00%,,1,,,Yes,,vaunut.org,,VR Pm Knp,K17,2'2'
Tamn-tw,tamntw,888,Tamn-tw (STR_PUR_LIMESTONE_WAGON),"Tamn-tw, kalkkikivivaunu",2009,50,120,,"GRAI, WHEA, MAIZ, SUGR, BEAN, CERE, FICR, OLSD, WOOL, CASS, SALT, SGBT, SGCN","CC_BULK, CC_COVERED",CC_NON_POURABLE,69,,5,185,31,24,"$6,000 ","$145,000 ",0.2,8,$162.50 ,100.00%,0.00%,50.00%,50.00%,-,1,,,Yes,"In reality, used as LIME tranport",vaunut.org,,VR Pm Knp,K17,2'2'
Uan-t,uant,889,Uan-t (STR_PUR_ORE_CONTAINER_WAGON),"Uan-t, rikastekonttivaunu",2009,50,120,,"GRAI, WHEA, MAIZ, SUGR, BEAN, CERE, FICR, OLSD, WOOL, CASS, SALT, SGBT, SGCN","CC_BULK, CC_COVERED",CC_NON_POURABLE,77,,5,185,23,26,"$6,500 ","$160,000 ",0.2,8,$162.50 ,100.00%,0.00%,50.00%,50.00%,-,1,,,Yes,from Kokkola to Talvivaara,vaunut.org,,VR Pm Knp,K17,2'2'
Vok,vok,890,Vok (STR_PUR_OPEN_WAGON) (SZD/RZD),"Vok, korkealaitainen avovaunu (SZD/RZD)",1978,INF,80,,"GRAI, WHEA, MAIZ, SUGR, BEAN, CERE, FICR, OLSD, WOOL, CASS, SALT, SGBT, SGCN",CC_BULK,CC_COVERED,69,,5,185,22,11,"$2,750 ","$70,000 ",0.2,8,$162.50 ,100.00%,100.00%,100.00%,100.00%,"juzza1, Kyosuke1989",4,Random livery,,Yes,,vaunut.org,,USSR,CNII-H3-0,2'2'
,,,,,,,,,,,,,,,,,,,,,,,100.00%,47.06%,73.53%,73.53%,,,,,,,,,,,
Covered Hopper and Silo Wagons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gl,gl,891,Gl (STR_PUR_COVERED_HOPPER_WAGON),Gl-irtotavaravaunu,1890,70,65,,,"CC_BULK, CC_COVERED, CC_POWDERIZED",CC_NON_POURABLE,12,,5,185,7,8,"$2,000 ","$50,000 ",0.05,2,$40.63 ,100.00%,0.00%,50.00%,50.00%,,1,,,,,vaunut.org,,,,?
Silk,silk,892,Silk (STR_PUR_POWDER_WAGON),Silk-jauhevaunu,1956,50,80,,"COAL, IORE, CORE","CC_BULK, CC_COVERED, CC_POWDERIZED",CC_NON_POURABLE,29,,5,185,13,16,"$4,000 ","$100,000 ",0.1,4,$81.25 ,100.00%,100.00%,100.00%,100.00%,DanMacK,1,,,,"IRL, powderized transport",vaunut.org,,,,3
Soi,soi,877,Soi (STR_PUR_POWDER_WAGON),Soi-jauhevaunu,1970,50,100,,"COAL, IORE, CORE","CC_BULK, CC_COVERED, CC_POWDERIZED",CC_NON_POURABLE,54,48500,5,185,26,27,"$6,750 ","$165,000 ",0.15,6,$121.88 ,100.00%,0.00%,50.00%,50.00%,,1,,1,No,,vaunut.org,,VR Psl Knp,K14,2'2'
Tad,tad,893,Tad (STR_PUR_COVERED_HOPPER_WAGON),Tad-irtotavaravaunu,1975,INF,100,,"COAL, IORE, CORE","CC_BULK, CC_COVERED, CC_POWDERIZED",CC_NON_POURABLE,56,50000,5,185,24,19,"$4,750 ","$117,500 ",0.15,6,$121.88 ,100.00%,100.00%,100.00%,100.00%,juzza1,1,,,,"Heavier and denser bulk materials, 1128 kg/m3",vaunut.org,,VR Psl Knp,K14,2'2'
Tabd,tabd,894,Tabd (STR_PUR_COVERED_HOPPER_WAGON),Tabd-irtotavaravaunu,1975,INF,100,,"COAL, IORE, CORE","CC_BULK, CC_COVERED, CC_POWDERIZED",CC_NON_POURABLE,53,75000,5,185,27,19,"$4,750 ","$117,500 ",0.15,6,$121.88 ,100.00%,100.00%,100.00%,100.00%,juzza1,1,,,,"Lighter, less dense bulk materials,
709 kg/m3",vaunut.org,,VR Psl Knp,K14,2'2'
Uac,uac,895,Uac (STR_PUR_POWDER_WAGON),Uac-jauhevaunu,1977,50,100,,"COAL, IORE, CORE","CC_BULK, CC_COVERED, CC_POWDERIZED",CC_NON_POURABLE,48,100000,5,185,32,18,"$4,500 ","$112,500 ",0.15,6,$121.88 ,100.00%,100.00%,100.00%,100.00%,"juzza1, DanMacK",1,,,,"Very light bulk materials, 480 kg/m3",vaunut.org,,VR Psl Knp,K14,2'2'
Tadds,tadds,896,Tadds (STR_PUR_COVERED_HOPPER_WAGON),Tadds-irtotavaravaunu,2009,INF,120,,"COAL, IORE, CORE","CC_BULK, CC_COVERED, CC_POWDERIZED",CC_NON_POURABLE,63,74000,5,185,27,23,"$5,750 ","$142,500 ",0.2,8,$162.50 ,100.00%,100.00%,100.00%,100.00%,juzza1,1,,,,"In reality, used as LIME transport, 851 kg/m3

Tabd sprites",vaunut.org,,VR Pm Knp,K14,2'2'
Vtad,vtad,897,Vtad (STR_PUR_COVERED_HOPPER_WAGON) (SZD/RZD),Vtad-irtotavaravaunu (SZD/RZD),1976,INF,80,,"COAL, IORE, CORE","CC_BULK, CC_COVERED, CC_POWDERIZED",CC_NON_POURABLE,70,,5,185,23,16,"$4,000 ","$100,000 ",0.2,8,$162.50 ,100.00%,100.00%,100.00%,100.00%,"Kyosuke1989
Originals by
Wile E.Coyote",2,Random livery,,Yes,Hopper Random livery,vaunut.org,,USSR,CNII-H3-0,2'2'
,,,,,,,,,,,,,,,,,,,,,,,100.00%,71.43%,85.71%,85.71%,,,,,,,,,,,
Special wagons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osg,osg,898,Osg (STR_PUR_TRANSFORMER_HEAVY),Osg-suurkuormavaunu,1967,INF,60,,,CC_OVERSIZED,CC_COVERED,450,,5,370,230,250,"$62,500 ","$1,500,000 ",0.3,12,$243.75 ,100.00%,0.00%,50.00%,50.00%,-,1,,,Yes,32-axle articulated transformer transporting Wagon,vaunut.org,,Norca,Special 4x4,8'8'+8'8'
,,,,,,,,,,,,,,,,,,,,,,,100.00%,0.00%,50.00%,50.00%,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Total,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,99.64%,47.80%,73.07%,73.50%,,,,,,,,,,,
